date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:43	344657/344657	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202024%2002:53:07%20GMT	https://www.w3schools.com/html/html_intro.asp	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/html/html_intro.html	(from )
12:31:44	111/111	---M-Z	200	added ('OK')	text/plain	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/robots.txt		(from )
12:31:45	6369/6369	---M-Z	200	added ('OK')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com/html/html_intro.asp)
12:31:46	3065/3065	---M-Z	200	added ('OK')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/apple-touch-icon.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/html/html_intro.asp)
12:31:47	1408/1408	---M-Z	200	added ('OK')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/favicon-32x32.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/html/html_intro.asp)
12:31:48	912/912	---M-Z	200	added ('OK')	image/png	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/favicon-16x16.png	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/html/html_intro.asp)
12:31:49	34835/34835	---M-Z	200	added ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.35	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/topnav/main44e3.css	(from https://www.w3schools.com/html/html_intro.asp)
12:31:50	20513/20513	---M-Z	200	added ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/my-learning/main.css?v=1.0.30	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/my-learning/main5ab0.css	(from https://www.w3schools.com/html/html_intro.asp)
12:31:51	34694/34694	---M-Z	200	added ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/pathfinder/main.css?v=1.0.3	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/pathfinder/main2c70.css	(from https://www.w3schools.com/html/html_intro.asp)
12:31:52	72709/72709	---M-Z	200	added ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.1	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/lib/w3schools32f700.css	(from https://www.w3schools.com/html/html_intro.asp)
12:31:53	9075/9075	---M-Z	200	added ('OK')	text/css	etag:%2203e8ec6616db1:0+gzip%22	https://www.w3schools.com/plus/plans/main.css	D:/Sunrise%20Web/html/home%20work/www.w3schools.com/plus/plans/main.css	(from https://www.w3schools.com/html/html_intro.asp)
12:31:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Oct%202024%2005:31:52%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Sunrise%20Web/html/home%20work/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.w3schools.com/html/html_intro.asp)
